id,titulo,autor,precio,idEditorial
1,TITANIC,Cristy Tatlowe,4654,5
2,I Don't Know How She Does It,Fulvia Freschini,7866,2
3, Don Quijote de la Mancha,Andreas Nehlsen,5646,4
5,Strange Behavior,Quinlan Messum,543,5
6,Park Boys: Don't Legalize It,Stanislaus Chisholme,868,6
7, El Señor de los Anillos,Currey Gillmore,3437,6
8,Scum,Shanna Tipton,6009,3
10,Not Your Typical Bigfoot Movie,Anders Illingworth,1238,6
11,Mortified Nation,Jennie Good,3115,2
13,Saw VI,Huberto Bierton,3458,2
15,Judgment Night,Caz Mc Andrew,2393,2
17,Knock on Any Door,Dierdre Minocchi,1419,2
18,Miehen tie,Ileana Finlan,3126,4
19,Paan Singh Tomar,Venus Cadwell,3126,5
20,El hobbit,Reuven McMorland,459,2
22,Beach Boys: An American ,Alvin McClintock,2574,4
23,Lupin III: First Contact,Florence Mathevet,2353,4
25,The Tomb,Margery Hedney,715,3
26,Walking on Sunshine,Berget Bremley,4563,5
28,El código Da Vinci,Sigfrid Diack,4345,3
29,Psycho Beach Party,Wallis Edmunds,4259,2
30,Missing in Action,Garvin Postins,1317,6
